"key","base","as","bn","de","es","fr","gu","hi","id","it","ja","kn","ko","ml","mr","ms","nl","or","pa","pl","pt","ru","si","ta","te","th","tr","uk","ur","vi","zh"
"countriesStatesCitiesLabel","Countries / States / Cities","Countries / States / Cities","Countries / States / Cities","Countries / States / Cities","Countries / States / Cities","Countries / States / Cities","Countries / States / Cities","Countries / States / Cities","Countries / States / Cities","Countries / States / Cities","Countries / States / Cities","Countries / States / Cities","Countries / States / Cities","Countries / States / Cities","Countries / States / Cities","Countries / States / Cities","Countries / States / Cities","Countries / States / Cities","Countries / States / Cities","Countries / States / Cities","Countries / States / Cities","Countries / States / Cities","Countries / States / Cities","Countries / States / Cities","Countries / States / Cities","Countries / States / Cities","Countries / States / Cities","Countries / States / Cities","Countries / States / Cities","Countries / States / Cities","Countries / States / Cities"
"coverageSummaryLabel","Coverage Summary","Coverage Summary","Coverage Summary","Coverage Summary","Coverage Summary","Coverage Summary","Coverage Summary","Coverage Summary","Coverage Summary","Coverage Summary","Coverage Summary","Coverage Summary","Coverage Summary","Coverage Summary","Coverage Summary","Coverage Summary","Coverage Summary","Coverage Summary","Coverage Summary","Coverage Summary","Coverage Summary","Coverage Summary","Coverage Summary","Coverage Summary","Coverage Summary","Coverage Summary","Coverage Summary","Coverage Summary","Coverage Summary","Coverage Summary","Coverage Summary"
"coverageSummarySubtitleLabel","Raw counts that support the derived visuals","Raw counts that support the derived visuals","Raw counts that support the derived visuals","Raw counts that support the derived visuals","Raw counts that support the derived visuals","Raw counts that support the derived visuals","Raw counts that support the derived visuals","Raw counts that support the derived visuals","Raw counts that support the derived visuals","Raw counts that support the derived visuals","Raw counts that support the derived visuals","Raw counts that support the derived visuals","Raw counts that support the derived visuals","Raw counts that support the derived visuals","Raw counts that support the derived visuals","Raw counts that support the derived visuals","Raw counts that support the derived visuals","Raw counts that support the derived visuals","Raw counts that support the derived visuals","Raw counts that support the derived visuals","Raw counts that support the derived visuals","Raw counts that support the derived visuals","Raw counts that support the derived visuals","Raw counts that support the derived visuals","Raw counts that support the derived visuals","Raw counts that support the derived visuals","Raw counts that support the derived visuals","Raw counts that support the derived visuals","Raw counts that support the derived visuals","Raw counts that support the derived visuals","Raw counts that support the derived visuals"
"currenciesLabel","Currencies","Currencies","Currencies","Currencies","Currencies","Currencies","Currencies","Currencies","Currencies","Currencies","Currencies","Currencies","Currencies","Currencies","Currencies","Mata Wang","Currencies","Currencies","Currencies","Currencies","Currencies","Currencies","Currencies","\u0ba8\u0bbe\u0ba3\u0bcd\u0baf\u0b99\u0bcd\u0b95\u0bb3\u0bcd","Currencies","Currencies","Currencies","Currencies","Currencies","Currencies","\u8d27\u5e01"
"densityStatisticsLabel","Density Statistics","Density Statistics","Density Statistics","Density Statistics","Density Statistics","Density Statistics","Density Statistics","Density Statistics","Density Statistics","Density Statistics","Density Statistics","Density Statistics","Density Statistics","Density Statistics","Density Statistics","Density Statistics","Density Statistics","Density Statistics","Density Statistics","Density Statistics","Density Statistics","Density Statistics","Density Statistics","Density Statistics","Density Statistics","Density Statistics","Density Statistics","Density Statistics","Density Statistics","Density Statistics","Density Statistics"
"densityStatisticsSummaryLabel","Best available ratios derived from the current dataset","Best available ratios derived from the current dataset","Best available ratios derived from the current dataset","Best available ratios derived from the current dataset","Best available ratios derived from the current dataset","Best available ratios derived from the current dataset","Best available ratios derived from the current dataset","Best available ratios derived from the current dataset","Best available ratios derived from the current dataset","Best available ratios derived from the current dataset","Best available ratios derived from the current dataset","Best available ratios derived from the current dataset","Best available ratios derived from the current dataset","Best available ratios derived from the current dataset","Best available ratios derived from the current dataset","Best available ratios derived from the current dataset","Best available ratios derived from the current dataset","Best available ratios derived from the current dataset","Best available ratios derived from the current dataset","Best available ratios derived from the current dataset","Best available ratios derived from the current dataset","Best available ratios derived from the current dataset","Best available ratios derived from the current dataset","Best available ratios derived from the current dataset","Best available ratios derived from the current dataset","Best available ratios derived from the current dataset","Best available ratios derived from the current dataset","Best available ratios derived from the current dataset","Best available ratios derived from the current dataset","Best available ratios derived from the current dataset","Best available ratios derived from the current dataset"
"departmentsLabel","Departments","Departments","Departments","Departments","Departments","Departments","Departments","Departments","Departments","Departments","Departments","Departments","Departments","Departments","Departments","Departments","Departments","Departments","Departments","Departments","Departments","Departments","Departments","Departments","Departments","Departments","Departments","Departments","Departments","Departments","Departments"
"departmentsPerOrganizationLabel","departments per organization","departments per organization","departments per organization","departments per organization","departments per organization","departments per organization","departments per organization","departments per organization","departments per organization","departments per organization","departments per organization","departments per organization","departments per organization","departments per organization","departments per organization","departments per organization","departments per organization","departments per organization","departments per organization","departments per organization","departments per organization","departments per organization","departments per organization","departments per organization","departments per organization","departments per organization","departments per organization","departments per organization","departments per organization","departments per organization","departments per organization"
"departmentsPerOrganizationStatLabel","Departments per organization","Departments per organization","Departments per organization","Departments per organization","Departments per organization","Departments per organization","Departments per organization","Departments per organization","Departments per organization","Departments per organization","Departments per organization","Departments per organization","Departments per organization","Departments per organization","Departments per organization","Departments per organization","Departments per organization","Departments per organization","Departments per organization","Departments per organization","Departments per organization","Departments per organization","Departments per organization","Departments per organization","Departments per organization","Departments per organization","Departments per organization","Departments per organization","Departments per organization","Departments per organization","Departments per organization"
"designationsLabel","Designations","Designations","Designations","Designations","Designations","Designations","Designations","Designations","Designations","Designations","Designations","Designations","Designations","Designations","Designations","Designations","Designations","Designations","Designations","Designations","Designations","Designations","Designations","Designations","Designations","Designations","Designations","Designations","Designations","Designations","Designations"
"designationsPerDepartmentLabel","Designations per department","Designations per department","Designations per department","Designations per department","Designations per department","Designations per department","Designations per department","Designations per department","Designations per department","Designations per department","Designations per department","Designations per department","Designations per department","Designations per department","Designations per department","Designations per department","Designations per department","Designations per department","Designations per department","Designations per department","Designations per department","Designations per department","Designations per department","Designations per department","Designations per department","Designations per department","Designations per department","Designations per department","Designations per department","Designations per department","Designations per department"
"efficiencyRadarLabel","Efficiency Radar","Efficiency Radar","Efficiency Radar","Efficiency Radar","Efficiency Radar","Efficiency Radar","Efficiency Radar","Efficiency Radar","Efficiency Radar","Efficiency Radar","Efficiency Radar","Efficiency Radar","Efficiency Radar","Efficiency Radar","Efficiency Radar","Efficiency Radar","Efficiency Radar","Efficiency Radar","Efficiency Radar","Efficiency Radar","Efficiency Radar","Efficiency Radar","Efficiency Radar","Efficiency Radar","Efficiency Radar","Efficiency Radar","Efficiency Radar","Efficiency Radar","Efficiency Radar","Efficiency Radar","Efficiency Radar"
"efficiencyRadarSummaryLabel","Density metrics across structure, geography, and identity layers","Density metrics across structure, geography, and identity layers","Density metrics across structure, geography, and identity layers","Density metrics across structure, geography, and identity layers","Density metrics across structure, geography, and identity layers","Density metrics across structure, geography, and identity layers","Density metrics across structure, geography, and identity layers","Density metrics across structure, geography, and identity layers","Density metrics across structure, geography, and identity layers","Density metrics across structure, geography, and identity layers","Density metrics across structure, geography, and identity layers","Density metrics across structure, geography, and identity layers","Density metrics across structure, geography, and identity layers","Density metrics across structure, geography, and identity layers","Density metrics across structure, geography, and identity layers","Density metrics across structure, geography, and identity layers","Density metrics across structure, geography, and identity layers","Density metrics across structure, geography, and identity layers","Density metrics across structure, geography, and identity layers","Density metrics across structure, geography, and identity layers","Density metrics across structure, geography, and identity layers","Density metrics across structure, geography, and identity layers","Density metrics across structure, geography, and identity layers","Density metrics across structure, geography, and identity layers","Density metrics across structure, geography, and identity layers","Density metrics across structure, geography, and identity layers","Density metrics across structure, geography, and identity layers","Density metrics across structure, geography, and identity layers","Density metrics across structure, geography, and identity layers","Density metrics across structure, geography, and identity layers","Density metrics across structure, geography, and identity layers"
"expiringLicensesLabel","Expiring Licenses","Expiring Licenses","Expiring Licenses","Expiring Licenses","Expiring Licenses","Expiring Licenses","Expiring Licenses","Expiring Licenses","Expiring Licenses","Expiring Licenses","Expiring Licenses","Expiring Licenses","Expiring Licenses","Expiring Licenses","Expiring Licenses","Expiring Licenses","Expiring Licenses","Expiring Licenses","Expiring Licenses","Expiring Licenses","Expiring Licenses","Expiring Licenses","Expiring Licenses","Expiring Licenses","Expiring Licenses","Expiring Licenses","Expiring Licenses","Expiring Licenses","Expiring Licenses","Expiring Licenses","Expiring Licenses"
"expiringWithin30DaysLabel","Expiring within 30 days","Expiring within 30 days","Expiring within 30 days","Expiring within 30 days","Expiring within 30 days","Expiring within 30 days","Expiring within 30 days","Expiring within 30 days","Expiring within 30 days","Expiring within 30 days","Expiring within 30 days","Expiring within 30 days","Expiring within 30 days","Expiring within 30 days","Expiring within 30 days","Expiring within 30 days","Expiring within 30 days","Expiring within 30 days","Expiring within 30 days","Expiring within 30 days","Expiring within 30 days","Expiring within 30 days","Expiring within 30 days","Expiring within 30 days","Expiring within 30 days","Expiring within 30 days","Expiring within 30 days","Expiring within 30 days","Expiring within 30 days","Expiring within 30 days","Expiring within 30 days"
"expiredAndLabel","expired and","expired and","expired and","expired and","expired and","expired and","expired and","expired and","expired and","expired and","expired and","expired and","expired and","expired and","expired and","expired and","expired and","expired and","expired and","expired and","expired and","expired and","expired and","expired and","expired and","expired and","expired and","expired and","expired and","expired and","expired and"
"geographyFootprintLabel","Geography Footprint","Geography Footprint","Geography Footprint","Geography Footprint","Geography Footprint","Geography Footprint","Geography Footprint","Geography Footprint","Geography Footprint","Geography Footprint","Geography Footprint","Geography Footprint","Geography Footprint","Geography Footprint","Geography Footprint","Geography Footprint","Geography Footprint","Geography Footprint","Geography Footprint","Geography Footprint","Geography Footprint","Geography Footprint","Geography Footprint","Geography Footprint","Geography Footprint","Geography Footprint","Geography Footprint","Geography Footprint","Geography Footprint","Geography Footprint","Geography Footprint"
"inActiveUseLabel","in active use","in active use","in active use","in active use","in active use","in active use","in active use","in active use","in active use","in active use","in active use","in active use","in active use","in active use","in active use","in active use","in active use","in active use","in active use","in active use","in active use","in active use","in active use","in active use","in active use","in active use","in active use","in active use","in active use","in active use","in active use"
"licenseCoverageLabel","License Coverage","License Coverage","License Coverage","License Coverage","License Coverage","License Coverage","License Coverage","License Coverage","License Coverage","License Coverage","License Coverage","License Coverage","License Coverage","License Coverage","License Coverage","License Coverage","License Coverage","License Coverage","License Coverage","License Coverage","License Coverage","License Coverage","License Coverage","License Coverage","License Coverage","License Coverage","License Coverage","License Coverage","License Coverage","License Coverage","License Coverage"
"licenseCoverageSummaryLabel","Share of licensed organizations that are still active","Share of licensed organizations that are still active","Share of licensed organizations that are still active","Share of licensed organizations that are still active","Share of licensed organizations that are still active","Share of licensed organizations that are still active","Share of licensed organizations that are still active","Share of licensed organizations that are still active","Share of licensed organizations that are still active","Share of licensed organizations that are still active","Share of licensed organizations that are still active","Share of licensed organizations that are still active","Share of licensed organizations that are still active","Share of licensed organizations that are still active","Share of licensed organizations that are still active","Share of licensed organizations that are still active","Share of licensed organizations that are still active","Share of licensed organizations that are still active","Share of licensed organizations that are still active","Share of licensed organizations that are still active","Share of licensed organizations that are still active","Share of licensed organizations that are still active","Share of licensed organizations that are still active","Share of licensed organizations that are still active","Share of licensed organizations that are still active","Share of licensed organizations that are still active","Share of licensed organizations that are still active","Share of licensed organizations that are still active","Share of licensed organizations that are still active","Share of licensed organizations that are still active","Share of licensed organizations that are still active"
"licensePulseLabel","License Pulse","License Pulse","License Pulse","License Pulse","License Pulse","License Pulse","License Pulse","License Pulse","License Pulse","License Pulse","License Pulse","License Pulse","License Pulse","License Pulse","License Pulse","License Pulse","License Pulse","License Pulse","License Pulse","License Pulse","License Pulse","License Pulse","License Pulse","License Pulse","License Pulse","License Pulse","License Pulse","License Pulse","License Pulse","License Pulse","License Pulse"
"licensePulseSummaryLabel","Current license coverage and renewal pressure across organizations","Current license coverage and renewal pressure across organizations","Current license coverage and renewal pressure across organizations","Current license coverage and renewal pressure across organizations","Current license coverage and renewal pressure across organizations","Current license coverage and renewal pressure across organizations","Current license coverage and renewal pressure across organizations","Current license coverage and renewal pressure across organizations","Current license coverage and renewal pressure across organizations","Current license coverage and renewal pressure across organizations","Current license coverage and renewal pressure across organizations","Current license coverage and renewal pressure across organizations","Current license coverage and renewal pressure across organizations","Current license coverage and renewal pressure across organizations","Current license coverage and renewal pressure across organizations","Current license coverage and renewal pressure across organizations","Current license coverage and renewal pressure across organizations","Current license coverage and renewal pressure across organizations","Current license coverage and renewal pressure across organizations","Current license coverage and renewal pressure across organizations","Current license coverage and renewal pressure across organizations","Current license coverage and renewal pressure across organizations","Current license coverage and renewal pressure across organizations","Current license coverage and renewal pressure across organizations","Current license coverage and renewal pressure across organizations","Current license coverage and renewal pressure across organizations","Current license coverage and renewal pressure across organizations","Current license coverage and renewal pressure across organizations","Current license coverage and renewal pressure across organizations","Current license coverage and renewal pressure across organizations","Current license coverage and renewal pressure across organizations"
"licensedOrgsLabel","Licensed Orgs","Licensed Orgs","Licensed Orgs","Licensed Orgs","Licensed Orgs","Licensed Orgs","Licensed Orgs","Licensed Orgs","Licensed Orgs","Licensed Orgs","Licensed Orgs","Licensed Orgs","Licensed Orgs","Licensed Orgs","Licensed Orgs","Licensed Orgs","Licensed Orgs","Licensed Orgs","Licensed Orgs","Licensed Orgs","Licensed Orgs","Licensed Orgs","Licensed Orgs","Licensed Orgs","Licensed Orgs","Licensed Orgs","Licensed Orgs","Licensed Orgs","Licensed Orgs","Licensed Orgs","Licensed Orgs"
"licensedOrganizationsStatLabel","Licensed organizations","Licensed organizations","Licensed organizations","Licensed organizations","Licensed organizations","Licensed organizations","Licensed organizations","Licensed organizations","Licensed organizations","Licensed organizations","Licensed organizations","Licensed organizations","Licensed organizations","Licensed organizations","Licensed organizations","Licensed organizations","Licensed organizations","Licensed organizations","Licensed organizations","Licensed organizations","Licensed organizations","Licensed organizations","Licensed organizations","Licensed organizations","Licensed organizations","Licensed organizations","Licensed organizations","Licensed organizations","Licensed organizations","Licensed organizations","Licensed organizations"
"licensedUserAccountsLabel","Licensed user accounts","Licensed user accounts","Licensed user accounts","Licensed user accounts","Licensed user accounts","Licensed user accounts","Licensed user accounts","Licensed user accounts","Licensed user accounts","Licensed user accounts","Licensed user accounts","Licensed user accounts","Licensed user accounts","Licensed user accounts","Licensed user accounts","Licensed user accounts","Licensed user accounts","Licensed user accounts","Licensed user accounts","Licensed user accounts","Licensed user accounts","Licensed user accounts","Licensed user accounts","Licensed user accounts","Licensed user accounts","Licensed user accounts","Licensed user accounts","Licensed user accounts","Licensed user accounts","Licensed user accounts","Licensed user accounts"
"licensedUsersSummaryLabel","Users attached to organizations with registered licenses","Users attached to organizations with registered licenses","Users attached to organizations with registered licenses","Users attached to organizations with registered licenses","Users attached to organizations with registered licenses","Users attached to organizations with registered licenses","Users attached to organizations with registered licenses","Users attached to organizations with registered licenses","Users attached to organizations with registered licenses","Users attached to organizations with registered licenses","Users attached to organizations with registered licenses","Users attached to organizations with registered licenses","Users attached to organizations with registered licenses","Users attached to organizations with registered licenses","Users attached to organizations with registered licenses","Users attached to organizations with registered licenses","Users attached to organizations with registered licenses","Users attached to organizations with registered licenses","Users attached to organizations with registered licenses","Users attached to organizations with registered licenses","Users attached to organizations with registered licenses","Users attached to organizations with registered licenses","Users attached to organizations with registered licenses","Users attached to organizations with registered licenses","Users attached to organizations with registered licenses","Users attached to organizations with registered licenses","Users attached to organizations with registered licenses","Users attached to organizations with registered licenses","Users attached to organizations with registered licenses","Users attached to organizations with registered licenses","Users attached to organizations with registered licenses"
"loginLogoutEventsLabel","Login / logout events","Login / logout events","Login / logout events","Login / logout events","Login / logout events","Login / logout events","Login / logout events","Login / logout events","Login / logout events","Login / logout events","Login / logout events","Login / logout events","Login / logout events","Login / logout events","Login / logout events","Login / logout events","Login / logout events","Login / logout events","Login / logout events","Login / logout events","Login / logout events","Login / logout events","Login / logout events","Login / logout events","Login / logout events","Login / logout events","Login / logout events","Login / logout events","Login / logout events","Login / logout events","Login / logout events"
"nearingRenewalLabel","nearing renewal","nearing renewal","nearing renewal","nearing renewal","nearing renewal","nearing renewal","nearing renewal","nearing renewal","nearing renewal","nearing renewal","nearing renewal","nearing renewal","nearing renewal","nearing renewal","nearing renewal","nearing renewal","nearing renewal","nearing renewal","nearing renewal","nearing renewal","nearing renewal","nearing renewal","nearing renewal","nearing renewal","nearing renewal","nearing renewal","nearing renewal","nearing renewal","nearing renewal","nearing renewal","nearing renewal"
"operationalRatiosSummaryLabel","Percent-based dashboard health indicators","Percent-based dashboard health indicators","Percent-based dashboard health indicators","Percent-based dashboard health indicators","Percent-based dashboard health indicators","Percent-based dashboard health indicators","Percent-based dashboard health indicators","Percent-based dashboard health indicators","Percent-based dashboard health indicators","Percent-based dashboard health indicators","Percent-based dashboard health indicators","Percent-based dashboard health indicators","Percent-based dashboard health indicators","Percent-based dashboard health indicators","Percent-based dashboard health indicators","Percent-based dashboard health indicators","Percent-based dashboard health indicators","Percent-based dashboard health indicators","Percent-based dashboard health indicators","Percent-based dashboard health indicators","Percent-based dashboard health indicators","Percent-based dashboard health indicators","Percent-based dashboard health indicators","Percent-based dashboard health indicators","Percent-based dashboard health indicators","Percent-based dashboard health indicators","Percent-based dashboard health indicators","Percent-based dashboard health indicators","Percent-based dashboard health indicators","Percent-based dashboard health indicators","Percent-based dashboard health indicators"
"organizationsLabel","Organizations","Organizations","Organizations","Organizations","Organizations","Organizations","Organizations","Organizations","Organizations","Organizations","Organizations","Organizations","Organizations","Organizations","Organizations","Organizations","Organizations","Organizations","Organizations","Organizations","Organizations","Organizations","Organizations","Organizations","Organizations","Organizations","Organizations","Organizations","Organizations","Organizations","Organizations"
"portfolioMixLabel","Portfolio Mix","Portfolio Mix","Portfolio Mix","Portfolio Mix","Portfolio Mix","Portfolio Mix","Portfolio Mix","Portfolio Mix","Portfolio Mix","Portfolio Mix","Portfolio Mix","Portfolio Mix","Portfolio Mix","Portfolio Mix","Portfolio Mix","Portfolio Mix","Portfolio Mix","Portfolio Mix","Portfolio Mix","Portfolio Mix","Portfolio Mix","Portfolio Mix","Portfolio Mix","Portfolio Mix","Portfolio Mix","Portfolio Mix","Portfolio Mix","Portfolio Mix","Portfolio Mix","Portfolio Mix","Portfolio Mix"
"portfolioMixSummaryLabel","Grouped by structure, geography, and identity assets","Grouped by structure, geography, and identity assets","Grouped by structure, geography, and identity assets","Grouped by structure, geography, and identity assets","Grouped by structure, geography, and identity assets","Grouped by structure, geography, and identity assets","Grouped by structure, geography, and identity assets","Grouped by structure, geography, and identity assets","Grouped by structure, geography, and identity assets","Grouped by structure, geography, and identity assets","Grouped by structure, geography, and identity assets","Grouped by structure, geography, and identity assets","Grouped by structure, geography, and identity assets","Grouped by structure, geography, and identity assets","Grouped by structure, geography, and identity assets","Grouped by structure, geography, and identity assets","Grouped by structure, geography, and identity assets","Grouped by structure, geography, and identity assets","Grouped by structure, geography, and identity assets","Grouped by structure, geography, and identity assets","Grouped by structure, geography, and identity assets","Grouped by structure, geography, and identity assets","Grouped by structure, geography, and identity assets","Grouped by structure, geography, and identity assets","Grouped by structure, geography, and identity assets","Grouped by structure, geography, and identity assets","Grouped by structure, geography, and identity assets","Grouped by structure, geography, and identity assets","Grouped by structure, geography, and identity assets","Grouped by structure, geography, and identity assets","Grouped by structure, geography, and identity assets"
"roleUtilizationSummaryLabel","Used versus dormant roles in the system","Used versus dormant roles in the system","Used versus dormant roles in the system","Used versus dormant roles in the system","Used versus dormant roles in the system","Used versus dormant roles in the system","Used versus dormant roles in the system","Used versus dormant roles in the system","Used versus dormant roles in the system","Used versus dormant roles in the system","Used versus dormant roles in the system","Used versus dormant roles in the system","Used versus dormant roles in the system","Used versus dormant roles in the system","Used versus dormant roles in the system","Used versus dormant roles in the system","Used versus dormant roles in the system","Used versus dormant roles in the system","Used versus dormant roles in the system","Used versus dormant roles in the system","Used versus dormant roles in the system","Used versus dormant roles in the system","Used versus dormant roles in the system","Used versus dormant roles in the system","Used versus dormant roles in the system","Used versus dormant roles in the system","Used versus dormant roles in the system","Used versus dormant roles in the system","Used versus dormant roles in the system","Used versus dormant roles in the system","Used versus dormant roles in the system"
"rolesLabel","Roles","Roles","Roles","Roles","Roles","Roles","Roles","Roles","Roles","Roles","Roles","Roles","Roles","Roles","Roles","Roles","Roles","Roles","Roles","Roles","Roles","Roles","Roles","Roles","Roles","Roles","Roles","Roles","Roles","Roles","Roles"
"rolesUsedUnusedLabel","Roles used / unused","Roles used / unused","Roles used / unused","Roles used / unused","Roles used / unused","Roles used / unused","Roles used / unused","Roles used / unused","Roles used / unused","Roles used / unused","Roles used / unused","Roles used / unused","Roles used / unused","Roles used / unused","Roles used / unused","Roles used / unused","Roles used / unused","Roles used / unused","Roles used / unused","Roles used / unused","Roles used / unused","Roles used / unused","Roles used / unused","Roles used / unused","Roles used / unused","Roles used / unused","Roles used / unused","Roles used / unused","Roles used / unused","Roles used / unused","Roles used / unused"
"statesPerCountryLabel","States per country","States per country","States per country","States per country","States per country","States per country","States per country","States per country","States per country","States per country","States per country","States per country","States per country","States per country","States per country","States per country","States per country","States per country","States per country","States per country","States per country","States per country","States per country","States per country","States per country","States per country","States per country","States per country","States per country","States per country","States per country"
"structureInventoryLabel","Structure Inventory","Structure Inventory","Structure Inventory","Structure Inventory","Structure Inventory","Structure Inventory","Structure Inventory","Structure Inventory","Structure Inventory","Structure Inventory","Structure Inventory","Structure Inventory","Structure Inventory","Structure Inventory","Structure Inventory","Structure Inventory","Structure Inventory","Structure Inventory","Structure Inventory","Structure Inventory","Structure Inventory","Structure Inventory","Structure Inventory","Structure Inventory","Structure Inventory","Structure Inventory","Structure Inventory","Structure Inventory","Structure Inventory","Structure Inventory","Structure Inventory"
"systemEntityFootprintLabel","System Entity Footprint","System Entity Footprint","System Entity Footprint","System Entity Footprint","System Entity Footprint","System Entity Footprint","System Entity Footprint","System Entity Footprint","System Entity Footprint","System Entity Footprint","System Entity Footprint","System Entity Footprint","System Entity Footprint","System Entity Footprint","System Entity Footprint","System Entity Footprint","System Entity Footprint","System Entity Footprint","System Entity Footprint","System Entity Footprint","System Entity Footprint","System Entity Footprint","System Entity Footprint","System Entity Footprint","System Entity Footprint","System Entity Footprint","System Entity Footprint","System Entity Footprint","System Entity Footprint","System Entity Footprint","System Entity Footprint"
"systemEntityFootprintSummaryLabel","Absolute volume across structure, geography, security, and usage objects","Absolute volume across structure, geography, security, and usage objects","Absolute volume across structure, geography, security, and usage objects","Absolute volume across structure, geography, security, and usage objects","Absolute volume across structure, geography, security, and usage objects","Absolute volume across structure, geography, security, and usage objects","Absolute volume across structure, geography, security, and usage objects","Absolute volume across structure, geography, security, and usage objects","Absolute volume across structure, geography, security, and usage objects","Absolute volume across structure, geography, security, and usage objects","Absolute volume across structure, geography, security, and usage objects","Absolute volume across structure, geography, security, and usage objects","Absolute volume across structure, geography, security, and usage objects","Absolute volume across structure, geography, security, and usage objects","Absolute volume across structure, geography, security, and usage objects","Absolute volume across structure, geography, security, and usage objects","Absolute volume across structure, geography, security, and usage objects","Absolute volume across structure, geography, security, and usage objects","Absolute volume across structure, geography, security, and usage objects","Absolute volume across structure, geography, security, and usage objects","Absolute volume across structure, geography, security, and usage objects","Absolute volume across structure, geography, security, and usage objects","Absolute volume across structure, geography, security, and usage objects","Absolute volume across structure, geography, security, and usage objects","Absolute volume across structure, geography, security, and usage objects","Absolute volume across structure, geography, security, and usage objects","Absolute volume across structure, geography, security, and usage objects","Absolute volume across structure, geography, security, and usage objects","Absolute volume across structure, geography, security, and usage objects","Absolute volume across structure, geography, security, and usage objects","Absolute volume across structure, geography, security, and usage objects"
"totalUsersLabel","Total Users","Total Users","Total Users","Total Users","Total Users","Total Users","Total Users","Total Users","Total Users","Total Users","Total Users","Total Users","Total Users","Total Users","Total Users","Total Users","Total Users","Total Users","Total Users","Total Users","Total Users","Total Users","Total Users","Total Users","Total Users","Total Users","Total Users","Total Users","Total Users","Total Users","Total Users"
"trackedActivitiesLabel","Tracked Activities","Tracked Activities","Tracked Activities","Tracked Activities","Tracked Activities","Tracked Activities","Tracked Activities","Tracked Activities","Tracked Activities","Tracked Activities","Tracked Activities","Tracked Activities","Tracked Activities","Tracked Activities","Tracked Activities","Tracked Activities","Tracked Activities","Tracked Activities","Tracked Activities","Tracked Activities","Tracked Activities","Tracked Activities","Tracked Activities","Tracked Activities","Tracked Activities","Tracked Activities","Tracked Activities","Tracked Activities","Tracked Activities","Tracked Activities","Tracked Activities"
"unlicensedOrgsLabel","Unlicensed Orgs","Unlicensed Orgs","Unlicensed Orgs","Unlicensed Orgs","Unlicensed Orgs","Unlicensed Orgs","Unlicensed Orgs","Unlicensed Orgs","Unlicensed Orgs","Unlicensed Orgs","Unlicensed Orgs","Unlicensed Orgs","Unlicensed Orgs","Unlicensed Orgs","Unlicensed Orgs","Unlicensed Orgs","Unlicensed Orgs","Unlicensed Orgs","Unlicensed Orgs","Unlicensed Orgs","Unlicensed Orgs","Unlicensed Orgs","Unlicensed Orgs","Unlicensed Orgs","Unlicensed Orgs","Unlicensed Orgs","Unlicensed Orgs","Unlicensed Orgs","Unlicensed Orgs","Unlicensed Orgs","Unlicensed Orgs"
"unlicensedOrgsSummaryLabel","Organizations without any registered license entry","Organizations without any registered license entry","Organizations without any registered license entry","Organizations without any registered license entry","Organizations without any registered license entry","Organizations without any registered license entry","Organizations without any registered license entry","Organizations without any registered license entry","Organizations without any registered license entry","Organizations without any registered license entry","Organizations without any registered license entry","Organizations without any registered license entry","Organizations without any registered license entry","Organizations without any registered license entry","Organizations without any registered license entry","Organizations without any registered license entry","Organizations without any registered license entry","Organizations without any registered license entry","Organizations without any registered license entry","Organizations without any registered license entry","Organizations without any registered license entry","Organizations without any registered license entry","Organizations without any registered license entry","Organizations without any registered license entry","Organizations without any registered license entry","Organizations without any registered license entry","Organizations without any registered license entry","Organizations without any registered license entry","Organizations without any registered license entry","Organizations without any registered license entry","Organizations without any registered license entry"
"unlicensedOrganizationsStatLabel","Unlicensed organizations","Unlicensed organizations","Unlicensed organizations","Unlicensed organizations","Unlicensed organizations","Unlicensed organizations","Unlicensed organizations","Unlicensed organizations","Unlicensed organizations","Unlicensed organizations","Unlicensed organizations","Unlicensed organizations","Unlicensed organizations","Unlicensed organizations","Unlicensed organizations","Unlicensed organizations","Unlicensed organizations","Unlicensed organizations","Unlicensed organizations","Unlicensed organizations","Unlicensed organizations","Unlicensed organizations","Unlicensed organizations","Unlicensed organizations","Unlicensed organizations","Unlicensed organizations","Unlicensed organizations","Unlicensed organizations","Unlicensed organizations","Unlicensed organizations","Unlicensed organizations"
"userActivitiesLabel","User Activities","User Activities","User Activities","User Activities","User Activities","User Activities","User Activities","User Activities","User Activities","User Activities","User Activities","User Activities","User Activities","User Activities","User Activities","User Activities","User Activities","User Activities","User Activities","User Activities","User Activities","User Activities","User Activities","User Activities","User Activities","User Activities","User Activities","User Activities","User Activities","User Activities","User Activities"
"userStateMixLabel","User State Mix","User State Mix","User State Mix","User State Mix","User State Mix","User State Mix","User State Mix","User State Mix","User State Mix","User State Mix","User State Mix","User State Mix","User State Mix","User State Mix","User State Mix","User State Mix","User State Mix","User State Mix","User State Mix","User State Mix","User State Mix","User State Mix","User State Mix","User State Mix","User State Mix","User State Mix","User State Mix","User State Mix","User State Mix","User State Mix","User State Mix"
